,CJPL_0.001_N_alpha,CJPL_0.001_G,CJPL_0.001_mean,CJPL_0.005_N_alpha,CJPL_0.005_G,CJPL_0.005_mean,CJPL_0.01_N_alpha,CJPL_0.01_G,CJPL_0.01_mean,CJPL_0.05_N_alpha,CJPL_0.05_G,CJPL_0.05_mean,CJPL_0.1_N_alpha,CJPL_0.1_G,CJPL_0.1_mean,Kamioka_0.001_N_alpha,Kamioka_0.001_G,Kamioka_0.001_mean,Kamioka_0.005_N_alpha,Kamioka_0.005_G,Kamioka_0.005_mean,Kamioka_0.01_N_alpha,Kamioka_0.01_G,Kamioka_0.01_mean,Kamioka_0.05_N_alpha,Kamioka_0.05_G,Kamioka_0.05_mean,Kamioka_0.1_N_alpha,Kamioka_0.1_G,Kamioka_0.1_mean,LNGS_0.001_N_alpha,LNGS_0.001_G,LNGS_0.001_mean,LNGS_0.005_N_alpha,LNGS_0.005_G,LNGS_0.005_mean,LNGS_0.01_N_alpha,LNGS_0.01_G,LNGS_0.01_mean,LNGS_0.05_N_alpha,LNGS_0.05_G,LNGS_0.05_mean,LNGS_0.1_N_alpha,LNGS_0.1_G,LNGS_0.1_mean,SURF_0.001_N_alpha,SURF_0.001_G,SURF_0.001_mean,SURF_0.005_N_alpha,SURF_0.005_G,SURF_0.005_mean,SURF_0.01_N_alpha,SURF_0.01_G,SURF_0.01_mean,SURF_0.05_N_alpha,SURF_0.05_G,SURF_0.05_mean,SURF_0.1_N_alpha,SURF_0.1_G,SURF_0.1_mean,SNOlab_0.001_N_alpha,SNOlab_0.001_G,SNOlab_0.001_mean,SNOlab_0.005_N_alpha,SNOlab_0.005_G,SNOlab_0.005_mean,SNOlab_0.01_N_alpha,SNOlab_0.01_G,SNOlab_0.01_mean,SNOlab_0.05_N_alpha,SNOlab_0.05_G,SNOlab_0.05_mean,SNOlab_0.1_N_alpha,SNOlab_0.1_G,SNOlab_0.1_mean
0,2147.9140227845146,3.110697270285632,2008.5039688505467,2124.382603515548,2.585633836047294,2008.5039688505467,2112.9929831241043,2.3314939081046875,2008.5039688505467,2082.002591911094,1.6399962533009955,2008.5039688505467,2065.5479594848134,1.2728392317835333,2008.5039688505467,2148.940713348702,3.110869682844233,2009.488757761324,2125.4042537266105,2.5858224838182253,2009.488757761324,2114.0116883344676,2.331679140048255,2009.488757761324,2083.0139821961543,1.640187766856487,2009.488757761324,2066.555306868829,1.273030534246215,2009.488757761324,2150.3994948521795,3.1107994808609893,2010.90167019869,2126.8460367563307,2.5855577045175284,2010.90167019869,2115.458822154403,2.3316229828821196,2010.90167019869,2084.4485101585365,1.6400934719546079,2010.90167019869,2067.9765034487364,1.2727679595398655,2010.90167019869,2152.9676377144506,3.1108181973362483,2013.38293609154,2129.4097136725895,2.5858006420538295,2013.38293609154,2118.0062679297193,2.3316607104079488,2013.38293609154,2086.979412882399,1.6401887642339021,2013.38293609154,2070.504567805596,1.2730264085649519,2013.38293609154,2152.973386220422,3.1108260950177695,2013.3881495035237,2129.4156283578504,2.585812922975586,2013.3881495035237,2118.0121697291775,2.331673033185673,2013.3881495035237,2086.985152643329,1.6401983710265429,2013.3881495035237,2070.510377312894,1.273038045100271,2013.3881495035237
1,2455.0734033656126,3.1094535123881193,2305.7625562404273,2429.891420144369,2.585029415386349,2305.7625562404273,2417.711595518049,2.3313800711238426,2305.7625562404273,2384.5382471932376,1.6405328456722648,2305.7625562404273,2366.913646678304,1.2734940334843583,2305.7625562404273,2456.2470895284,3.1095898581272094,2306.89309391,2431.0537207507527,2.585057228660822,2306.89309391,2418.870459818347,2.331398500098099,2306.89309391,2385.6906648514964,1.640586356127922,2306.89309391,2368.061862076815,1.2735500000391626,2306.89309391,2457.9104771397683,3.1093581359614615,2308.515117388096,2432.71575345509,2.584981614478652,2308.515117388096,2420.5270387365194,2.3312985058459765,2308.515117388096,2387.3327153080772,1.6404267157748165,2308.515117388096,2369.6998679000685,1.2734351462950615,2308.515117388096,2460.8568131363713,3.1094767209293983,2311.363610633088,2435.646114345311,2.585091132177009,2311.363610633088,2423.449243743456,2.331394746190337,2311.363610633088,2390.234021591542,1.6405141019041412,2311.363610633088,2372.591610668348,1.273549817588023,2311.363610633088,2460.863453405901,3.109486324861209,2311.3695956300453,2435.6528131173686,2.585102631882169,2311.3695956300453,2423.455988827126,2.331407537638841,2311.3695956300453,2390.2407637117867,1.640527726187384,2311.3695956300453,2372.598259873032,1.273561984322776,2311.3695956300453
2,2809.1943188618707,3.1081386845672077,2649.216734913871,2782.2353473220473,2.584363913932419,2649.216734913871,2769.190908072743,2.3309288685423786,2649.216734913871,2733.6656460552076,1.6407231632732082,2649.216734913871,2714.7884527691617,1.273965938539254,2649.216734913871,2810.5349490869703,3.108186839733756,2650.5156714871864,2783.5683600806515,2.58439246746081,2650.5156714871864,2770.521264692281,2.330967937671913,2650.5156714871864,2734.981986975833,1.6406591389521776,2650.5156714871864,2716.1024892942482,1.2739470332929468,2650.5156714871864,2812.4608127362094,3.1083030626182095,2652.379302992072,2785.485049332521,2.5845145992399825,2652.379302992072,2772.433228749484,2.331087367351425,2652.379302992072,2736.8831821683266,1.640812026738713,2652.379302992072,2717.9947152574546,1.274054618958978,2652.379302992072,2815.826134506118,3.1081827445568613,2655.652092704741,2788.8343169219524,2.584405603668056,2655.652092704741,2775.775720033806,2.331003085635875,2655.652092704741,2740.20629517686,1.640777183043826,2655.652092704741,2721.3079425064134,1.274054004866981,2655.652092704741,2815.8337715532343,3.1081934790425225,2655.6589691951476,2788.841938869738,2.584416723278575,2655.6589691951476,2775.7833546035804,2.331014778253174,2655.6589691951476,2740.2140350882078,1.6407918134418833,2655.6589691951476,2721.315625828951,1.2740680119504355,2655.6589691951476
3,3214.2777494541792,3.1070879778861413,3042.883512808578,3185.4198117298247,2.5839423160204444,3042.883512808578,3171.454815521994,2.3307805255321434,3042.883512808578,3133.4117154126798,1.6411233859190824,3042.883512808578,3113.192872272096,1.2745899150254671,3042.883512808578,3215.809720691718,3.1070517856349054,3044.375468008406,3186.9416602075044,2.583850864749016,3044.375468008406,3172.972980515095,2.3306843562949724,3044.375468008406,3134.9227025392033,1.641066136607611,3044.375468008406,3114.7020721470303,1.274590098223828,3044.375468008406,3217.9999075562914,3.106859117919929,3046.516030351015,3189.127309253425,2.5837598227720857,3046.516030351015,3175.1546955427707,2.330610996097526,3046.516030351015,3137.0892441858573,1.6409601872089736,3046.516030351015,3116.8604923351245,1.2744657787792162,3046.516030351015,3221.8733300065014,3.1070137396590085,3050.2751481786827,3192.9781865648492,2.583828664349097,3050.2751481786827,3178.99647199912,2.330671091250213,3050.2751481786827,3140.9103960852854,1.6410719364484685,3050.2751481786827,3120.6703316139115,1.2745985989439796,3050.2751481786827,3221.8820760538606,3.1070250662772434,3050.2830464978383,3192.9868840931595,2.5838397898274073,3050.2830464978383,3179.005162514102,2.3306824175028797,3050.2830464978383,3140.9191061202755,1.6410845089515718,3050.2830464978383,3120.679080782205,1.2746123544750727,3050.2830464978383
4,3680.4661537150223,3.1058509243250496,3496.805409768802,3649.5637888583315,2.583267075475524,3496.805409768802,3634.6076800130704,2.330347243598103,3496.805409768802,3593.8565433200692,1.6412127402427457,3496.805409768802,3572.196622670013,1.274926057926553,3496.805409768802,3682.224942020839,3.10583826141996,3498.519927262465,3651.3164112581653,2.5832782345570457,3498.519927262465,3636.3571608378647,2.3303672708653793,3498.519927262465,3595.5979762400175,1.6412655868706452,3498.519927262465,3573.9301899310985,1.2749356864755643,3498.519927262465,3684.755532346319,3.1059419938697856,3500.9798078159192,3653.8343291612573,2.5833514084218345,3500.9798078159192,3638.8692956630143,2.330431573113705,3500.9798078159192,3598.0958123456107,1.6413303634981524,3500.9798078159192,3576.4246047156207,1.2750713594438754,3500.9798078159192,3689.189033388471,3.1059465709539196,3505.2996917353707,3658.251001299809,2.583393856294058,3505.2996917353707,3643.2775158493237,2.330487160494924,3505.2996917353707,3602.480049160223,1.6414056148898482,3505.2996917353707,3580.792462174784,1.275095714467436,3505.2996917353707,3689.189407939734,3.105795570521449,3505.308768285635,3658.251285690226,2.5832420095618773,3505.308768285635,3643.2777614277197,2.3303349856518687,3505.308768285635,3602.4801662550544,1.6412521620683445,3505.308768285635,3580.7924881188646,1.2749411963409008,3505.308768285635
5,4213.788504922082,3.1047802214998934,4017.0079377010934,4180.703003269394,2.5827611390245964,4017.0079377010934,4164.687849706296,2.330075964216922,4017.0079377010934,4121.042421795044,1.641443629980507,4017.0079377010934,4097.840702185905,1.2753696768226048,4017.0079377010934,4215.812804097565,3.104882524791168,4018.977515522648,4182.719478453479,2.5828679550284894,4018.977515522648,4166.7004884488815,2.3301841883615815,4018.977515522648,4123.044453787176,1.6415533025881917,4018.977515522648,4099.837218370967,1.2754820548247219,4018.977515522648,4218.701334077071,3.1047803106597316,4021.80334039738,4185.595991154326,2.5827596695993407,4021.80334039738,4169.571309243215,2.330074937000495,4021.80334039738,4125.9002277858945,1.64144875386894,4021.80334039738,4102.684933015173,1.2753790506521852,4021.80334039738,4223.790036669656,3.104854870643571,4026.76587218308,4190.665210874881,2.582848968595282,4026.76587218308,4174.6309010563,2.3301682628180873,4026.76587218308,4130.9330652312765,1.6415449218615954,4026.76587218308,4107.703795111575,1.2754806238066057,4026.76587218308,4223.801614078094,3.1048689825794087,4026.7762990070473,4190.676823304139,2.582864308249123,4026.7762990070473,4174.6425127302655,2.3301839177119272,4026.7762990070473,4130.944553170767,1.6415595184088636,4026.7762990070473,4107.715327201723,1.2754963900509413,4026.7762990070473
6,4824.357644241336,3.103868129100814,4613.533616449706,4788.930942079897,2.5822965942532004,4613.533616449706,4771.784236779277,2.3298532999135255,4613.533616449706,4725.043510514934,1.6417104344982516,4613.533616449706,4700.191345259908,1.2758230900516336,4613.533616449706,4826.677250109444,3.1039544931713943,4615.795676577762,4791.244172981084,2.5824169443113636,4615.795676577762,4774.089556873243,2.3299190761722834,4615.795676577762,4727.341366793148,1.6418349907937142,4615.795676577762,4702.481859263932,1.275929241888889,4615.795676577762,4829.986448558266,3.1038016765708853,4619.041136446391,4794.547001046298,2.5823536505248974,4619.041136446391,4777.387881568308,2.3298782422256226,4619.041136446391,4730.6208370449185,1.641758512297805,4619.041136446391,4705.751901236452,1.2758426079144185,4619.041136446391,4835.818425312558,3.1038370510675475,4624.740604202267,4800.353982203246,2.5823428839440226,4624.740604202267,4783.183289424469,2.3298529152730874,4624.740604202267,4736.389197266224,1.6417596033000637,4624.740604202267,4711.505609493792,1.275853790527767,4624.740604202267,4835.831696283262,3.1038520863630272,4624.752579409594,4800.36744881821,2.582361471298633,4624.752579409594,4783.196798072854,2.329872447611464,4624.752579409594,4736.402546948096,1.6417776889513513,4624.752579409594,4711.518893472423,1.275871383767086,4624.752579409594
7,5526.350775290036,3.1029666599238923,5300.441973796593,5488.416373680333,2.5819193050580487,5300.441973796593,5470.04660408786,2.3296016343028363,5300.441973796593,5419.981354144092,1.6419312099135566,5300.441973796593,5393.356598846739,1.2762273175899304,5300.441973796593,5529.000027071759,3.1028982464952346,5303.040831732134,5491.057731948411,2.581870187295042,5303.040831732134,5472.689651193494,2.3296375420147695,5303.040831732134,5422.611882541589,1.641963733012047,5303.040831732134,5395.9764473204605,1.276202803840499,5303.040831732134,5532.813875781948,3.1029771577339256,5306.769507654342,5494.856580725634,2.581926266244247,5306.769507654342,5476.4812636824345,2.329682914536505,5306.769507654342,5426.385487635164,1.6420035440605194,5306.769507654342,5399.742268235164,1.2762642783955473,5306.769507654342,5539.497533591126,3.102924768719075,5313.317568345574,5501.517299890227,2.5818803528517633,5313.317568345574,5483.126424600923,2.3295790387559205,5313.317568345574,5432.999641669184,1.6418981640761614,5313.317568345574,5406.342975450529,1.2761998593145347,5313.317568345574,5539.512959434023,3.1029436295634296,5313.331326539799,5501.532667168233,2.5818990848447863,5313.331326539799,5483.141942336514,2.3296001614997417,5313.331326539799,5433.015038592879,1.6419185197556854,5313.331326539799,5406.358267571186,1.2762192506856096,5313.331326539799
8,6329.8176482255385,3.102141691035859,6087.775529586007,6289.197827067468,2.581536263331218,6087.775529586007,6269.530469594137,2.329468854925373,6087.775529586007,6215.905319296136,1.6421801492962642,6087.775529586007,6187.3832694293205,1.2766262510616182,6087.775529586007,6332.859570886914,3.1021121811355408,6090.760424774573,6292.2308063521905,2.5815197404287473,6090.760424774573,6272.558316181275,2.3294483375657684,6090.760424774573,6218.92002455124,1.642159677061284,6090.760424774573,6190.391182930746,1.2766083377618287,6090.760424774573,6337.226022931436,3.102097028017038,6095.042962372229,6296.583414674075,2.5815101876537865,6095.042962372229,6276.90064831759,2.329395729786159,6095.042962372229,6223.247033755811,1.6421522954594314,6095.042962372229,6194.706903879402,1.2765848116544076,6095.042962372229,6344.896194215387,3.1020981125680067,6102.563679293457,6304.229058301924,2.5815181747031137,6102.563679293457,6284.537753173668,2.3294498111488315,6102.563679293457,6230.84849911958,1.6421737610487248,6102.563679293457,6202.291354700452,1.276613803766686,6102.563679293457,6344.913640432216,3.1021151458092513,6102.579481145181,6304.246843528614,2.5815402215915286,6102.579481145181,6284.555352788971,2.3294698083789354,6102.579481145181,6230.865931019829,1.642192501168928,6102.579481145181,6202.308920595788,1.2766347324413112,6102.579481145181
9,7252.961027059523,3.1012435163771563,6993.610819537604,7209.46214340685,2.5810949798231837,6993.610819537604,7188.395044434808,2.3291799930561137,6993.610819537604,7130.950855317286,1.64227705684311,6993.610819537604,7100.393363961787,1.2768783827935293,6993.610819537604,7256.460132672993,3.101321192314971,6997.03985452493,7212.943962008417,2.5810934628025626,6997.03985452493,7191.87296145513,2.329193568832474,6997.03985452493,7134.4184179221475,1.642335183182588,6997.03985452493,7103.850744677842,1.2769043328686558,6997.03985452493,7261.472746148041,3.101341108677623,7001.9596156318385,7217.941495106603,2.5811159543725775,7001.9596156318385,7196.863216755962,2.3292175975574048,7001.9596156318385,7139.388453095205,1.6423589137671897,7001.9596156318385,7108.810373146445,1.276932100176355,7001.9596156318385,7270.274974054116,3.101369794878638,7010.5993834707415,7226.720399894611,2.5811867448521437,7010.5993834707415,7205.6285857546045,2.3292819926724935,7010.5993834707415,7148.1157008605705,1.6423913857195085,7010.5993834707415,7117.520962978176,1.2769908652565596,7010.5993834707415,7270.285431730071,3.101273871335421,7010.61753657127,7226.730525408912,2.581087527699585,7010.61753657127,7205.638742467368,2.329183474268226,7010.61753657127,7148.125986409602,1.642295295345074,7010.61753657127,7117.5310648190125,1.2768930538919114,7010.61753657127
10,8311.923915854724,3.1005216569086382,8034.015875402187,8265.334811779052,2.5807435104132237,8034.015875402187,8242.769206677438,2.3289870401618664,8034.015875402187,8181.2347812079,1.6424692319579048,8034.015875402187,8148.494477099836,1.277197245672348,8034.015875402187,8315.934782477052,3.1005616863930734,8037.955031045296,8269.334456367866,2.5807857496085638,8037.955031045296,8246.763455972725,2.3290307973565207,8037.955031045296,8185.213864955077,1.6425120752569626,8037.955031045296,8152.465694097168,1.277241859212417,8037.955031045296,8321.681570873225,3.100533022092994,8043.60668079476,8275.0600994363,2.580703951269793,8043.60668079476,8252.484426295981,2.328985358311677,8043.60668079476,8190.911753590215,1.6424505009972188,8043.60668079476,8158.152038178718,1.2771799100457826,8043.60668079476,8331.77933950395,3.1005463788505008,8053.53174436616,8285.130940149027,2.580737660908291,8053.53174436616,8262.540665849765,2.32901152059383,8053.53174436616,8200.930186925905,1.642478552601704,8053.53174436616,8168.150476870118,1.2772103055826767,8053.53174436616,8331.80243233448,3.100567316061426,8053.552598014095,8285.15439774488,2.580763335727413,8053.552598014095,8262.563849988943,2.329034474162904,8053.552598014095,8200.953149821069,1.6424999296707259,8053.552598014095,8168.173667653541,1.2772346949427513,8053.552598014095
11,9524.836401520219,3.09990143975106,9227.067232899411,9474.938803282306,2.5804465971484722,9227.067232899411,9450.772409880303,2.3288643462141616,9227.067232899411,9384.858907129636,1.6426772469177062,9227.067232899411,9349.78429610485,1.277535893573297,9227.067232899411,9529.43732697321,3.0999411415147096,9231.591353155523,9479.528461018741,2.5804963260769758,9231.591353155523,9455.354266141861,2.3288945323669714,9231.591353155523,9389.425163072428,1.6427132272834264,9231.591353155523,9354.341327284774,1.2775653471013424,9231.591353155523,9536.028117908976,3.099890980901611,9238.082272892781,9486.103280852816,2.580462518642099,9238.082272892781,9461.921093741295,2.3288659786017307,9238.082272892781,9395.968977516097,1.6426863467066952,9238.082272892781,9360.873919035088,1.2775500070689305,9238.082272892781,9547.613640766747,3.0999203574298626,9249.481208404533,9497.656706535636,2.580478322255178,9249.481208404533,9473.45984310161,2.328884260680696,9249.481208404533,9407.467107133449,1.6427052225623233,9249.481208404533,9372.349438784551,1.277558854025147,9249.481208404533,9547.630281763306,3.0998403422595584,9249.505158819187,9497.673270342233,2.5803981769953106,9249.505158819187,9473.476500236684,2.3288054115656736,9249.505158819187,9407.483669680045,1.6426262783239785,9249.505158819187,9372.365991027975,1.2774802754069454,9249.505158819187
12,10919.984985093271,3.0992540411831913,10600.883947593185,10866.540519520633,2.5801771456565485,10600.883947593185,10840.650090260184,2.328717551096649,10600.883947593185,10770.030839232979,1.642831347635665,10600.883947593185,10732.449617703774,1.277825474857968,10600.883947593185,10925.262933638622,3.09927358852664,10606.081663464269,10871.8019642236,2.580163646911017,10606.081663464269,10845.90475089219,2.3286998023983583,10606.081663464269,10775.271206381432,1.6428428946711857,10606.081663464269,10737.679289610953,1.2778226203762781,10606.081663464269,10932.827250286748,3.0992228527597723,10613.539015308685,10879.349054241218,2.5801281002705077,10613.539015308685,10853.443767913921,2.328674251999646,10613.539015308685,10782.783664930816,1.6428005430650052,10613.539015308685,10745.178289459252,1.2777778886722193,10613.539015308685,10946.118669686617,3.09920706715568,10626.635136691148,10892.608627507203,2.580123346842025,10626.635136691148,10866.686988313124,2.3286658565941987,10626.635136691148,10795.982707039413,1.64278634929341,10626.635136691148,10758.35597603207,1.2777815255437661,10626.635136691148,10946.149659986766,3.0992367539094374,10626.662653079598,10892.639158300477,2.580149248124052,10626.662653079598,10866.717444711045,2.3286913617505203,10626.662653079598,10796.013085758606,1.6428119889136952,10626.662653079598,10758.386461222546,1.2778086705734513,10626.662653079598
13,12517.465206208904,3.098651662405528,12175.551059172014,12460.218895413207,2.5798478116408146,12175.551059172014,12432.487861424403,2.3285308792637465,12175.551059172014,12356.838370646901,1.6429452654794046,12175.551059172014,12316.574152529123,1.2780443466746316,12175.551059172014,12523.515582411994,3.0986224351727123,12181.520849549146,12466.255580911646,2.579821681132571,12181.520849549146,12438.517554848042,2.3285029864012206,12181.520849549146,12362.849557766487,1.6429177102223658,12181.520849549146,12322.575581200059,1.2780177999292985,12181.520849549146,12532.20576865606,3.0986668197788645,12190.085924744459,12474.925791827547,2.579867437647506,12190.085924744459,12447.178241050467,2.3285507822322127,12190.085924744459,12371.485842692491,1.6429853949115392,12190.085924744459,12331.196346376915,1.2780731349523198,12190.085924744459,12547.453025692397,3.098619897795278,12205.127358586915,12490.137231337998,2.579816086365739,12205.127358586915,12462.37320257275,2.3285051849589498,12205.127358586915,12386.633306421052,1.6429324341424538,12205.127358586915,12346.319562496392,1.2780256185483885,12205.127358586915,12547.488263549905,3.09864878118259,12205.158962290361,12490.172624119956,2.5798470437652554,12205.158962290361,12462.408376290097,2.3285344848288654,12205.158962290361,12386.66823697699,1.64296042059992,12205.158962290361,12346.354571664384,1.278054789015671,12205.158962290361
14,14353.621934818553,3.0980618741821795,13987.221639075207,14292.299722093623,2.579557900548186,13987.221639075207,14262.591018847334,2.328358865154412,13987.221639075207,14181.541742397201,1.6430546330964426,13987.221639075207,14138.397619172449,1.2782537177848146,13987.221639075207,14360.57552330198,3.098110098005945,13994.07970904986,14299.237926917305,2.579603148248396,13994.07970904986,14269.522410606443,2.328408079791734,13994.07970904986,14188.45329318525,1.6431040693447023,13994.07970904986,14145.29846997938,1.2783021033942972,13994.07970904986,14370.53753434326,3.0980565745716864,14003.919231263677,14309.17816238931,2.579547803741815,14003.919231263677,14279.452593495873,2.32835605098526,14003.919231263677,14198.355032477197,1.6430524805274072,14003.919231263677,14155.184926395255,1.2782495510264122,14003.919231263677,14388.047816755852,3.098095675599567,14021.198766941483,14326.654570800189,2.579620433800503,14021.198766941483,14296.908352181068,2.3284091213656763,14021.198766941483,14215.76228512642,1.6431183197099892,14021.198766941483,14172.566478270337,1.2783232016836965,14021.198766941483,14388.078652056174,3.098045462011216,14021.23507314254,14326.684774467392,2.5795655572451133,14021.23507314254,14296.938348515747,2.328352819098089,14021.23507314254,14215.79233763902,1.643063379109993,14021.23507314254,14172.596582189859,1.278269167517897,14021.23507314254
15,16460.675678978503,3.097544436179048,16068.031750804374,16394.98330201408,2.5793012082453526,16068.031750804374,16363.15679611934,2.3282238091481444,16068.031750804374,16276.32095685855,1.6431810733187717,16068.031750804374,16230.09102476943,1.2784759075124583,16068.031750804374,16468.647939289243,3.0975263139199654,16075.910062090592,16402.9398658856,2.579286291194023,16075.910062090592,16371.104886485606,2.328203591715289,16075.910062090592,16284.24800842033,1.6431628024968794,16075.910062090592,16238.00661162653,1.278456590855461,16075.910062090592,16480.087468800826,3.0975119904522908,16087.21336158952,16414.360028586572,2.579301371761947,16087.21336158952,16382.513628184111,2.328216850566175,16087.21336158952,16295.625260843939,1.6431684986210766,16087.21336158952,16249.3684996673,1.278469299172272,16087.21336158952,16500.185172293157,3.0975534831988347,16107.06348873232,16434.416790772724,2.579339688890438,16107.06348873232,16402.550736105666,2.32825506863831,16107.06348873232,16315.609103788718,1.6432092742190914,16107.06348873232,16269.323812434577,1.278510069239458,16107.06348873232,16500.22186622514,3.0975099707092886,16107.10519602819,16434.453151476286,2.5792942216970483,16107.10519602819,16402.586947130327,2.3282087471461566,16107.10519602819,16315.645185371619,1.6431628197279458,16107.10519602819,16269.359969531724,1.2784646819240273,16107.10519602819
